,place_id,name,main_category,categories,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
397,ChIJe-RyVaSJoDERffvlYIaUaZQ,Tiệm Nướng Chí Phèo KanTho,Nhà hàng món nướng,Nhà hàng món nướng,+84 292 7303 979,"Tiệm Nướng Chí Phèo KanTho, Đường số 3 khu cán bộ gv dhct, Hẻm 51, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","Đường số 3 khu cán bộ gv dhct, Hẻm 51",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
398,ChIJQSgtzAaJoDERKnuijb4FkNw,Dê đệ nhất,Nhà hàng gia đình,Nhà hàng gia đình,,"Dê đệ nhất, 147 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",147 Võ Văn Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
400,ChIJzy6AoemHoDERWryezCtvDM0,Tháp Mười Quán,Nhà hàng gia đình,Nhà hàng gia đình,+84 989 656 570,"Tháp Mười Quán, 416 Huỳnh Mẫn Đạt, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ, Việt Nam","Bùi Hữu Nghĩa, Bình Thủy",416 Huỳnh Mẫn Đạt,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
401,ChIJz3BhFKBioDERftkFqKpcL0g,"Quán Bánh Xèo, Bánh Cống Huê Viên",Quán ăn nhỏ,Quán ăn nhỏ,+84 946 173 262,"Quán Bánh Xèo, Bánh Cống Huê Viên, 22 Đ. Đề Thám, An Cư, Ninh Kiều, Cần Thơ, Việt Nam","An Cư, Ninh Kiều",22 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
402,ChIJOc3ZhSRjoDERFmulA32kOAU,Cơm Niêu Nhà Ngoại,Nhà hàng gia đình,Nhà hàng gia đình,,"2QXP+57R Cơm Niêu Nhà Ngoại, Trần Quang Khải, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","2QXP+57R, Trần Quang Khải",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
406,ChIJGYeO6jaHoDERYcETK2D-bak,Quán ba cua 2,Nhà hàng hải sản,Nhà hàng hải sản,,"Quán ba cua 2, C2 Đ. Cách Mạng Tháng 8, Thới Bình, Ninh Kiều, Cần Thơ, Việt Nam","Thới Bình, Ninh Kiều",C2 Đ. Cách Mạng Tháng 8,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
409,ChIJWRnRqydjoDER9skkPlI7L9Q,Chân gà nướng Hoàng Vũ,Quán ăn nhỏ,Quán ăn nhỏ,,"Chân gà nướng Hoàng Vũ, 18 Hẻm 1 Đường Hoàng Văn Thụ, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",18 Hẻm 1 Đường Hoàng Văn Thụ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
411,ChIJ6WiP9eRjoDERo0KQeN10s40,Hủ tiếu Nam Vang A Đại,Quán ăn nhỏ,Quán ăn nhỏ,+84 777 702 797,"Hủ tiếu Nam Vang A Đại, 10 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",10 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
412,ChIJZbra2paJoDERfRZ3WoXVpyQ,Trâu Mộc 139,Nhà hàng gia đình,Nhà hàng gia đình,+84 947 645 252,"Trâu Mộc 139, 139 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",139 Đ. Nguyễn Đệ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
418,ChIJ7dQXyVp9oDERfIFsTFSqGKo,Thành Lợi Quán,Nhà hàng,Nhà hàng,+84 270 3890 552,"3Q8V+C6W Thành Lợi Quán, QL54, Thành Lợi, Bình Tân, Vĩnh Long, Việt Nam","Thành Lợi, Bình Tân","3Q8V+C6W, QL54",Vĩnh Long,,"Bình Tân, Vĩnh Long",VN
419,ChIJe_k9EWCJoDER_Tcocs7nyOE,Phở Nghi,Nhà hàng phở,Nhà hàng phở,+84 292 3943 620,"Phở Nghi, 118 Trần Hoàng Na Cần Thơ Can Tho City, 900000, Việt Nam","Hưng Lợi, Ninh Kiều",118 Trần Hoàng Na Cần Thơ Can Tho City,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
420,ChIJKTbh5Dh9oDERGLmiFxOyUlU,Quán Ăn Cô Ba,Quán ăn nhỏ,Quán ăn nhỏ,+84 270 3892 389,"Quán Ăn Cô Ba, 5565 Quốc Lộ 1A, Cái Vồn, Bình Minh, Vĩnh Long, Việt Nam","Cái Vồn, Bình Minh",5565 Quốc Lộ 1A,Vĩnh Long,,"Bình Minh, Vĩnh Long",VN
427,ChIJ60_uUJGJoDERPNINRooGeMc,Cơm tấm Bà Bảy,Quán ăn nhỏ,Quán ăn nhỏ,,"2P9Q+39Q Cơm tấm Bà Bảy, Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều","2P9Q+39Q, Nguyễn Văn Cừ Nối Dài",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
428,ChIJBWeG_atioDER3Cj8lg_yN0w,Tân Đào Hoa Đảo Food & Beer,Nhà hàng hải sản,Nhà hàng hải sản,+84 922 090 979,"Tân Đào Hoa Đảo Food & Beer, 118/9/47B Trần Quang Khải, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",118/9/47B Trần Quang Khải,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
431,ChIJQ9bIs65ioDERb-8EF7FFhxQ,Nhà Hàng - Karaoke Bến Cát,Nhà hàng,Nhà hàng,,"Nhà Hàng - Karaoke Bến Cát, 66 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",66 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
432,ChIJFYDelxyJoDERZNi_557cAqU,Quán Ăn Gia Đình Hương Đồng,Nhà hàng gia đình,Nhà hàng gia đình,+84 939 152 456,"Quán Ăn Gia Đình Hương Đồng, 184 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",184 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
439,ChIJ2YJtM3CJoDERWZ7YPgc90Vg,Cơm gà Lê Trang - 590 đường 30T4,Quán ăn nhỏ,Quán ăn nhỏ,+84 949 568 795,"Cơm gà Lê Trang - 590 đường 30T4, 590 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",590 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
442,ChIJAUc-0tSJoDERmnmyc6V-hTc,Quán ăn gia đình Tâm Dê,Nhà hàng,Nhà hàng,+84 939 369 399,"Quán ăn gia đình Tâm Dê, 404E Đường số 7, Khu TĐC Cán bộ giáo viên Trường Đại học Cần Thơ, P.An Khánh, Q, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","404E Đường số 7, Khu TĐC Cán bộ giáo viên Trường Đại học Cần Thơ, P.An Khánh, Q",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
447,ChIJkZeH9UWJoDERoYiDgfupK3k,QUÁN DÊ THẬT,Quán ăn nhỏ,Quán ăn nhỏ,+84 907 330 078,"QUÁN DÊ THẬT, 362A Lê Bình, Cái Răng, Cần Thơ 903678, Việt Nam","Lê Bình, Cái Răng",362A Lê Bình,Cần Thơ,903678.0,"Cái Răng, Cần Thơ",VN
455,ChIJ9edbi2KIoDERuL0j1BbFNf4,Quán ăn Bê Thui Đồng Quê,Nhà hàng,Nhà hàng,+84 903 808 906,"Quán ăn Bê Thui Đồng Quê, kv Bình Trung P., Long Tuyền, Bình Thủy, Cần Thơ, Việt Nam","Long Tuyền, Bình Thủy",kv Bình Trung P.,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
457,ChIJRwFQ-y9joDER-ai82tgXUyI,Mì vịt tiềm Tấn Phát,Nhà hàng gia đình,Nhà hàng gia đình,+84 977 448 950,"Mì vịt tiềm Tấn Phát, 24A Đ. Lý Thường Kiệt, P, Ninh Kiều, Cần Thơ, Việt Nam","P, Ninh Kiều",24A Đ. Lý Thường Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
458,ChIJC5zrVLKJoDERhztCVnNPF_4,Quán nhậu 123,Quán ăn nhỏ,Quán ăn nhỏ,+84 913 157 434,"Quán nhậu 123, ĐT923, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",ĐT923,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
461,ChIJA8JeU_yJoDERf4vAsam9pAk,Cá lóc quay Hiệp Thành,Quán ăn nhỏ,Quán ăn nhỏ,+84 905 522 256,"Cá lóc quay Hiệp Thành, 759A Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",759A Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
463,ChIJpTY4NUiJoDER3piGPju8cMo,Quán ăn pallet,Nhà hàng gia đình,Nhà hàng gia đình,,"2QW7+C37 Quán ăn pallet, Võ Văn Kiệt, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","2QW7+C37, Võ Văn Kiệt",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
470,ChIJoZzjq32JoDERZPK2uY-eNCY,Phố Đậu- Mắm tôm tóp mỡ,Quán ăn nhỏ,Quán ăn nhỏ,+84 824 439 555,"Phố Đậu- Mắm tôm tóp mỡ, 48 Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ 900000, Việt Nam","Phường An Khánh, Ninh Kiều",48 Đ. Nguyễn Tri Phương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
471,ChIJYXdxBtVjoDERT6hH61gnRCI,Quán GÀ ĐỐT 79,Nhà hàng,Nhà hàng,+84 919 234 340,"Quán GÀ ĐỐT 79, 259K/8, Khu vực 2/Hẻm 259 Đ. Trần Vĩnh Kiết, Cần Thơ, 94118, Việt Nam","Phường An Khánh, Cần Thơ","259K/8, Khu vực 2/Hẻm 259 Đ. Trần Vĩnh Kiết",Cần Thơ,94118.0,Cần Thơ,VN
473,ChIJry-p2SWJoDERSEgl5MrcihI,Quán cháo gà ta - Chị Tư,Nhà hàng cháo,Nhà hàng cháo,+84 918 026 418,"Quán cháo gà ta - Chị Tư, chạy dọc bờ kè khoảng, từ, Cầu Rạch Ngỗng 2/200m Bờ kè Lò Mổ, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","chạy dọc bờ kè khoảng, từ, Cầu Rạch Ngỗng 2/200m Bờ kè Lò Mổ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
474,ChIJ3ceX2OeJoDER9VQ9yINLE1w,Tiệm Bún A Nhỉu,Quán ăn nhỏ,Quán ăn nhỏ,+84 339 771 518,"Tiệm Bún A Nhỉu, 41 Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",41 Đ. Mạc Thiên Tích,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
475,ChIJmXdsCbOJoDERD3hXmyrsnlc,Quán Cơm 69,Nhà hàng,Nhà hàng,+84 292 3847 250,"Quán Cơm 69, 94 Đ. 3 Tháng 2, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",94 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
479,ChIJMaEWugFjoDERTg94WcHpxq0,LA CÀ (quán ăn gia đình),Nhà hàng Việt Nam,Nhà hàng Việt Nam,,"LA CÀ (quán ăn gia đình), 121 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",121 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
480,ChIJ7V7NxQaJoDERc_ya8Z3l068,Quán ăn Cây Cầu Đỏ,Nhà hàng châu Á,Nhà hàng châu Á,+84 922 794 486,"Quán ăn Cây Cầu Đỏ, 17 Đ. Trần Nam Phú, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",17 Đ. Trần Nam Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
496,ChIJW8oAF6BioDERx71bibjhPTQ,Quán Phở Minh,Nhà hàng phở,"Nhà hàng phở, Quán ăn nhỏ",+84 944 892 989,"Quán Phở Minh, 15 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ 900000, Việt Nam","Tân An, Ninh Kiều",15 Đ. Đề Thám,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
497,ChIJz9Ltvi1joDERDwkU8uyncmY,Nhà Hàng Sen Vàng,Nhà hàng hải sản,Nhà hàng hải sản,,"Nhà Hàng Sen Vàng, 143 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",143 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
501,ChIJr_5p7zCIoDERVW3UBCSrqDE,Quán 33k,Quán ăn nhỏ,Quán ăn nhỏ,,"2QC8+5HR Quán 33k, QL91B, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","2QC8+5HR, QL91B",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
502,ChIJI0pcYa6JoDERQHsfdCOnT6g,Cơm Tấm 510,Quán ăn nhỏ,Quán ăn nhỏ,+84 945 279 179,"Cơm Tấm 510, 510 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",510 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
503,ChIJMTqGUjSJoDER4cDG9L_jNHE,Lẩu Chay Chế Út,Nhà hàng món chay,Nhà hàng món chay,+84 932 960 070,"Lẩu Chay Chế Út, 20 Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ 900000, Việt Nam","Phường An Khánh, Ninh Kiều",20 Đ. Nguyễn Tri Phương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
504,ChIJuzCn7gmHoDERUXHSxQHJACI,Kae Galbi - Quán thịt nướng,Nhà hàng Hàn Quốc,Nhà hàng Hàn Quốc,+84 934 651 939,"Kae Galbi - Quán thịt nướng, 8 Đ. Số 18, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",8 Đ. Số 18,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
506,ChIJF32LUriJoDER7XZyjpP0K7w,Bún Cá Kiên Giang Ngộ,Quán ăn nhỏ,"Quán ăn nhỏ, Quán cà phê",+84 946 100 999,"Bún Cá Kiên Giang Ngộ, 67 Đ. Trần Bình Trọng, An Phú, Ninh Kiều, Cần Thơ, Việt Nam","An Phú, Ninh Kiều",67 Đ. Trần Bình Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
507,ChIJMx-wSLuJoDEROgjzLwqlm2g,Quán Nhậu Hèm 24h,Nhà hàng,Nhà hàng,+84 919 738 868,"Quán Nhậu Hèm 24h, 14 Đường Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",14 Đường Trần Hoàng Na,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
508,ChIJs8lQniaIoDERnSBin3dsIBA,Quán Cơm Tấm Trâm,Quán ăn nhỏ,Quán ăn nhỏ,+84 939 474 771,"Quán Cơm Tấm Trâm, 7A, Đường 30/4, Quận Ninh Kiều, TP Cần Thơ, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều","7A, Đường 30/4, Quận Ninh Kiều, TP Cần Thơ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
509,ChIJS9Fcy_GHoDERh_JDK9X8ozk,Quán Gà Vườn Táo Cồn Khương.,Quán ăn nhỏ,Quán ăn nhỏ,+84 707 322 328,"3Q6H+M3F Quán Gà Vườn Táo Cồn Khương., Đường số 1, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","3Q6H+M3F, Đường số 1",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
511,ChIJp57j4yCIoDER3h9HRossjls,Quán Ăn Đông Hồ,Nhà hàng,Nhà hàng,+84 292 3824 199,"Quán Ăn Đông Hồ, 73 Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ, Việt Nam","An Lạc, Ninh Kiều",73 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
513,ChIJ155s2M5joDERA94D8u3pZ_8,Hai Lạng Mốt Cái Khế,Nhà hàng,Nhà hàng,+84 866 675 986,"Hai Lạng Mốt Cái Khế, 03B Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",03B Sông Hậu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
516,ChIJJQhfUj6JoDERetHcZ23bQyY,Quán cơm Chú Lùn,Quán ăn nhỏ,Quán ăn nhỏ,,"Quán cơm Chú Lùn, 75 Đ. Phan Đăng Lưu, Thới Bình, Ninh Kiều, Cần Thơ, Việt Nam","Thới Bình, Ninh Kiều",75 Đ. Phan Đăng Lưu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
525,ChIJdy4nGCCIoDERtfM7nbegA4k,Nem Nướng Anh Mập,Quán ăn nhỏ,Quán ăn nhỏ,+84 292 3734 135,"Nem Nướng Anh Mập, Số 18 Đường Nguyễn An Ninh, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",Số 18 Đường Nguyễn An Ninh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
526,ChIJfym6kX6JoDERoir36gzAe2U,Quán cơm Quê Nhà,Quán ăn nhỏ,Quán ăn nhỏ,+84 939 998 563,"Quán cơm Quê Nhà, Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
535,ChIJC9wQtvyJoDERnljdQa0ulC4,An Nhiên House,Nhà hàng món nướng,Nhà hàng món nướng,+84 919 300 588,"An Nhiên House, ĐỊA CHỈ: CẠNH, 96 Đ. Nguyễn Văn Cừ, KV IV, Ninh Kiều, Cần Thơ 90000, Việt Nam","KV IV, Ninh Kiều","ĐỊA CHỈ: CẠNH, 96 Đ. Nguyễn Văn Cừ",Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
536,ChIJ5dqbvnmJoDERfZmIYVX4GgY,Đồ Nướng Hẻm 132,Quán ăn nhỏ,Quán ăn nhỏ,+84 375 775 575,"Đồ Nướng Hẻm 132, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
538,ChIJlaTeEEGJoDERDcmbzKgrM3k,Cơm Tấm Sà - Bì - Chưởng 15k,Quán ăn nhỏ,Quán ăn nhỏ,+84 856 724 717,"Cơm Tấm Sà - Bì - Chưởng 15k, Hẻm 107 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",Hẻm 107 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
540,ChIJ78QL6UOHoDERZALzYlTO2Xs,Buffet Home BBQ,Nhà hàng,Nhà hàng,,"Buffet Home BBQ, 42 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",42 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
541,ChIJ38RG7zCIoDEReZz7gkmlR4s,Quán Ăn Thu Hiền (Bún Măng Vịt Xiêm),Quán ăn nhỏ,Quán ăn nhỏ,+84 905 520 379,"Quán Ăn Thu Hiền (Bún Măng Vịt Xiêm), 9a Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",9a Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
542,ChIJ6Xpf2NyJoDERO6TrqY4VSf0,Dê Miền Tây,Quán ăn nhỏ,Quán ăn nhỏ,+84 946 641 304,"Dê Miền Tây, 189A Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",189A Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
543,ChIJ-ydrNfmJoDER47kknedUPts,Quán ăn Hoa Súng (thực đơn ngon),Quán ăn nhỏ,Quán ăn nhỏ,,"XPMM+QJM Quán ăn Hoa Súng (thực đơn ngon), Ba Láng, Cái Răng, Cần Thơ, Việt Nam","Ba Láng, Cái Răng",XPMM+QJM,Cần Thơ,,"Cái Răng, Cần Thơ",VN
544,ChIJB_C-bjGIoDERsJ0vwoMiLqg,Quán Cơm 504,Nhà hàng,Nhà hàng,,"Quán Cơm 504, 510 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",510 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
546,ChIJbVaN0vOJoDERnlsL842h6SA,NƯỚNG LẨU 59 CẦN THƠ,Nhà hàng gia đình,Nhà hàng gia đình,+84 939 607 604,"NƯỚNG LẨU 59 CẦN THƠ, Số 1B đường 3/2, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",Số 1B đường 3/2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
548,ChIJpZ-m-biJoDERkTS4pT0gUqc,Bún Cá Cô Bảy,Quán ăn nhỏ,Quán ăn nhỏ,+84 396 736 969,"2Q97+25X Bún Cá Cô Bảy, Hẻm 117 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","2Q97+25X, Hẻm 117 Đ. 3 Tháng 2",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
551,ChIJQ9jwmyGIoDERTLnab8JCYyc,Quán Ăn Hồng,Nhà hàng,Nhà hàng,+84 292 3830 653,"Quán Ăn Hồng, 108 Đ. Nguyễn Việt Hồng, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",108 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
557,ChIJ9WXhw_uJoDERipXRZxp0QYw,Sugar D&B,Nhà hàng,Nhà hàng,+84 936 686 778,"Sugar D&B, 59 Đ1 Hồ Bún Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ 900000, Việt Nam","Phường An Khánh, Ninh Kiều",59 Đ1 Hồ Bún Xáng,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
558,ChIJufscJfuHoDERnRcTXANbltE,Cháo cá lóc quán nghèo,Nhà hàng,Nhà hàng,+84 943 018 332,"3Q6C+WFF Cháo cá lóc quán nghèo, Cầu Cồn Khương, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","3Q6C+WFF, Cầu Cồn Khương",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
559,ChIJDcDmHR6IoDERrCow5v9yJlg,Quán Ăn Hùng,Quán ăn nhỏ,Quán ăn nhỏ,+84 939 522 480,"Quán Ăn Hùng, 22/23, 22 Hẻm 22 Đ. Mạc Đĩnh Chi, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều","22/23, 22 Hẻm 22 Đ. Mạc Đĩnh Chi",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
560,ChIJEWuRcUuHoDERYkr7fujmskw,Quán nhậu vườn xoài,Nhà hàng,Nhà hàng,+84 772 002 275,"Quán nhậu vườn xoài, Lầu 1, Lô 29, Khu Dân Cư Vạn Phát - Cồn Khương, Đường Số 7, Ninh Kiều, Việt Nam","Cái Khế, Ninh Kiều","Lầu 1, Lô 29, Khu Dân Cư Vạn Phát - Cồn Khương, Đường Số 7",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
561,ChIJq4MqZoiJoDERMqo5Q_L4pMY,Quán Mộc Quê_ Mộc mạc vị quê,Nhà hàng,"Nhà hàng, Phòng tiệc, Dịch vụ tiệc cho trẻ em, Hội họp, Nơi tổ chức sự kiện, Nhà hàng gia đình, Nhà tổ chức buổi tiệc",+84 903 273 279,"Quán Mộc Quê_ Mộc mạc vị quê, 127 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",127 Võ Văn Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
562,ChIJAX3mQ_yHoDER6rdsoyGZhW4,Quán Câu Cua BIển Green,Nhà hàng,Nhà hàng,,"Quán Câu Cua BIển Green, Số 15 Trần Văn Giàu, Khu Biệt Thự Linh Thành Cồn Khương, Cần Thơ, 900000, Việt Nam","Khu Biệt Thự Linh Thành Cồn Khương, Cần Thơ",Số 15 Trần Văn Giàu,Cần Thơ,900000.0,Cần Thơ,VN
574,ChIJD34M2m-JoDERZfWlkUKx6bI,Quán Nhà Quê,Nhà hàng gia đình,Nhà hàng gia đình,,"Quán Nhà Quê, 257b Đ. Lê Anh Xuân, An Nghiệp, Ninh Kiều, Cần Thơ, Việt Nam","An Nghiệp, Ninh Kiều",257b Đ. Lê Anh Xuân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
580,ChIJcUBbvHdjoDERMLJAZOFDvWE,Quán ăn gia đình Hương Tràm,Nhà hàng,Nhà hàng,+84 907 937 424,"2QXP+8PW Quán ăn gia đình Hương Tràm, Trần Quang Khải, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","2QXP+8PW, Trần Quang Khải",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
588,ChIJ8ZP3f8OJoDERjg4Mt6EMxrs,Dê Tươi Tây Sơn,Nhà hàng quán rượu dành cho người sành ăn,Nhà hàng quán rượu dành cho người sành ăn,+84 899 678 778,"2PCV+QCM Dê Tươi Tây Sơn, Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều","2PCV+QCM, Nguyễn Văn Cừ Nối Dài",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
