,place_id,name,main_category,phone,address,lat,lng,House_number,Street,Ward,District,City,progress
602,ChIJgR2Cg3OJoDERwswrrVEbo0Q,We Coffee,Quán cà phê,,"2QP8+HGM We Coffee, Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ",10.01174,105.7617,,Hẻm 515 Đường 30 Tháng 4,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
603,ChIJi5tBOQCJoDERMF8iP5eeZXY,Coffee & MILK TEA HOA GIẤY,Quán cà phê,0973 793 335,"Coffee & MILK TEA HOA GIẤY, 151/39C Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ",9.99752,105.75295,,Đường Trần Hưng Đạo,Phường Lê Bình,Quận Cái Răng,Cần Thơ,True
604,ChIJteomA5SJoDERYIt9H0UTkKk,Coffee 389 - Không Gian Làm Việc Lý Tưởng,Quán cà phê,0787 861 622,"2QM7+QW4 Coffee 389 - Không Gian Làm Việc Lý Tưởng, Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ",10.04961,105.76582,255,Đường Nguyễn Đệ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
606,ChIJefxlRQSJoDERlAw9SAehmm4,Cà phê Lâm,Quán cà phê,0786 848 333,"Cà phê Lâm, 35 Đường Số 4, KDC, Ninh Kiều, Cần Thơ",10.04603,105.76796,313,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
607,ChIJ09_7OXSJoDERAQwef0ZTjqI,Cafe điểm tâm sáng 666,Quán cà phê,,"Cafe điểm tâm sáng 666, 172C Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ",10.04292,105.76493,75,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
608,ChIJieMOU5iJoDER96C6wTiJD2k,Cà phê YUME,Quán cà phê,0919 189 169,"2QH6+GHG Cà phê YUME, Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ",10.02016,105.76002,132/22/10,Hẻm 132 Đường 3 Tháng 2,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
609,ChIJ9zpP7K2JoDERHNZ7OsSN1mk,Cà phê Quỳnh Anh,Quán cà phê,0934 125 124,"Cà phê Quỳnh Anh, 57 Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ",10.04928,105.76475,57,Đường Nguyễn Đệ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
610,ChIJq0TAtIOJoDER40nrRHE8yfg,Đắng 2 Coffee,Quán cà phê,0376 167 391,"Đắng 2 Coffee, 59/3 đường Bờ Hồ Bún Xáng, Hẻm 51 Đường 3/2, Phường An Khánh, Ninh Kiều, Cần Thơ",10.05003,105.77211,85,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
611,ChIJnWw1DT-JoDERJgj0SZR5HKk,Cà Phê Tia Chớp,Quán cà phê,0939 555 836,"Cà Phê Tia Chớp, 91 Đ. B19, Khu dân cư 91B, Ninh Kiều, Cần Thơ",10.0469,105.76902,271,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
613,ChIJl1gqOCJjoDERgGWVbuTxOKE,Beeart & coffee,Quán cà phê,0913 303 780,"Beeart & coffee, 07 Hoàng Văn Thụ, An Hội, Ninh Kiều, Cần Thơ",10.04399,105.7658,389,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
614,ChIJt9zbOR2JoDERPS451j_NAGE,Doctor Coffee,Quán cà phê,,"Doctor Coffee, Ngã ba Đường Trần Minh Sơn và Đường Số 11, Phường An Khánh, Ninh Kiều, Cần Thơ",10.05131,105.77333,11,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
625,ChIJGQ9I6GqIoDERFVoEvlpRTQU,Quán Cà Phê Nhịp Sống Mới,Quán cà phê,0292 3890 195,"Quán Cà Phê Nhịp Sống Mới, 161 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ",10.04545,105.76739,341,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
638,ChIJeZQlLE2JoDERZpCpwf6Cl4Q,Quán Cà Phê TD Coffee,Quán cà phê,,"Quán Cà Phê TD Coffee, 4 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ",10.04401,105.7564,2,Đường Tô Hiến Thành,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
640,ChIJm-DG0NGJoDERKuJWxIKrOug,Cafe Phong Lan,Quán cà phê,0944 353 469,"Cafe Phong Lan, 335 Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ",10.03631,105.74832,4,Hẻm Liên Tổ 4-5,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
641,ChIJG9MX6LWJoDER-4gsHRwBaYs,cafe YÊN BÌNH,Quán cà phê,,"2Q94+RC3 cafe YÊN BÌNH, Đ. Trần Hoàng Na, Khu dân cư 91B, Ninh Kiều, Cần Thơ",10.04158,105.76332,6,Đường Nguyễn Văn Cừ Nối Dài,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
642,ChIJaT9rxJSJoDERo7QTAZneZX8,Cà Phê Nhà Tôi,Quán cà phê,0779 633 247,"Cà Phê Nhà Tôi, 3A dãy B, 17 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ",10.03765,105.75878,165,Đường Nguyễn Văn Cừ Nối Dài,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
643,ChIJLy5PM2aIoDERX11AUnXgQHc,Cà phê Làng Hoa,Quán cà phê,,"2PPW+R9J Cà phê Làng Hoa, Unnamed Road, Bình Thủy, Cần Thơ",10.02153,105.75969,6,Đường Số 2,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
644,ChIJdVhtV0yIoDERk21VSO1aXKo,Cà Phê Bida Ngọc Loan,Quán cà phê,,"Cà Phê Bida Ngọc Loan, 66 Đ. Trần Vĩnh Kiết, An Bình, Ninh Kiều, Cần Thơ",10.04137,105.75417,171,Đường Nguyễn Tri Phương,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
645,ChIJURDz4SGIoDERAdb_YmNxwpI,Cà phê Mười Hai Giờ,Quán cà phê,0916 802 875,"Cà phê Mười Hai Giờ, 158/72, Hẻm 2, Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ",10.04037,105.78518,44,Đường Nguyễn Trãi,Phường Tân An,Quận Ninh Kiều,Cần Thơ,True
646,ChIJbxgL_FOHoDER9Cyrk8AWrnk,Coffee Thềm Xưa 2,Quán cà phê,,"Coffee Thềm Xưa 2, 60 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ",10.03923,105.76103,136B,Đường Nguyễn Văn Cừ Nối Dài,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
648,ChIJiUyU2TmIoDERsD78HZ6XLX8,Quán Cà Phê Ngọc,Quán cà phê,0939 329 817,"Quán Cà Phê Ngọc, 15 QL91B, Hưng Lợi, Ninh Kiều, Cần Thơ",10.03796,105.75974,148,Đường Nguyễn Văn Cừ Nối Dài,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
651,ChIJx0Xl1cWJoDERrR71rAKAgjA,Forest Coffee,Quán cà phê,,"Forest Coffee, 133 Nguyễn Ngọc Trai, Xuân Khánh, Ninh Kiều, Cần Thơ",10.02529,105.76362,2,Hẻm 2 Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
652,ChIJTa3dHqJioDERjJ-mp2k3sKg,Chè - cà phê - kem - sinh tố Mỹ Hoá,Quán cà phê,0292 3820 841,"Chè - cà phê - kem - sinh tố Mỹ Hoá, 62 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ",10.03025,105.75146,,Đường Nguyễn Văn Cừ,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
653,ChIJqwp-LjFjoDERz6vJzB_tuH0,Phúc Long coffee & tea,Quán cà phê,,"Phúc Long coffee & tea, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ",10.03082,105.75128,298,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
654,ChIJAf_mNKBioDERt2_3RBXipko,F25 Cafe,Quán cà phê,,"F25 Cafe, 59 Đ. Ngô Văn Sở, Tân An, Ninh Kiều, Cần Thơ",10.03525,105.74646,312,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
660,ChIJu57TJTdjoDERzpzxBtV3bOE,CHẠM CREAM COFFEE,Quán cà phê,0939 373 835,"CHẠM CREAM COFFEE, 134 Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ",10.02111,105.75408,230,Đường Nguyễn Hiền,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
661,ChIJ5b973TWJoDERUduiwmxq2w4,Quán cà phê võng cánh buồm,Quán cà phê,0777 892 606,"2QRC+4Q5 Quán cà phê võng cánh buồm, Đ. Lê Anh Xuân, An Nghiệp, Ninh Kiều, Cần Thơ",10.03224,105.74979,329,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
669,ChIJeeWPyKiJoDER2QXdRA0PkPA,Hứng Coffee,Quán cà phê,0339 343 392,"Hứng Coffee, Đại Ngân, Đường số 3, Khu dân cư, Ninh Kiều, Cần Thơ 900000",10.01968,105.74056,,Đường Nguyễn Văn Cừ Nối Dài,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
684,ChIJFzCvKFGIoDERsh6yYPu9NrY,Cafe Kiều My 2,Quán cà phê,,"2PCR+8M4 Cafe Kiều My 2, Đ. Hoàng Quốc Việt, An Bình, Ninh Kiều, Cần Thơ",,,,,,,,True
685,ChIJT_16E9SJoDERxhnBK2RudKA,Cafe - Bida - Game Hoàng tử,Quán cà phê,0913 979 899,"Cafe - Bida - Game Hoàng tử, 602 Hẻm 553, Hưng Lợi, Ninh Kiều, Cần Thơ 900000",10.00563,105.74487,163/4,Đường Lộ Vòng Cung,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
686,ChIJhTcThyGIoDERkYWn9B4PTn4,Quán Cafe Toàn,Quán cà phê,0977 068 071,"Quán Cafe Toàn, 176 Đ. Nguyễn Việt Hồng, Xuân Khánh, Ninh Kiều, Cần Thơ",10.0243,105.7671,1,Quốc Lộ 1A,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
687,ChIJbav2XKGJoDERbsVvjMxO94o,Coffee Võng Tài Lộc,Quán cà phê,,"2QH2+XQX Coffee Võng Tài Lộc, Phường An Khánh, Ninh Kiều, Cần Thơ",10.01856,105.76214,134,Đường 3 Tháng 2,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
688,ChIJ0TvH4TSIoDER-cPFoBAPZgQ,Cà Phê Doggie,Quán cà phê,,"Cà Phê Doggie, 92 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ",10.0104,105.7511,3,Quốc Lộ 1A,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
689,ChIJO3iMv_eJoDERQkBs2bkfC_4,BIG BEN Coffee & Beer - Chill Out,Quán cà phê,0974 023 890,"BIG BEN Coffee & Beer - Chill Out, Hẻm 51, Hưng Lợi, Ninh Kiều, Cần Thơ",10.00541,105.7517,,Đường Ngô Quyền,Phường Lê Bình,Quận Cái Răng,Cần Thơ,True
690,ChIJy9ikVDuIoDERHYLRHBXRWfE,Quán Cà Phê - Trà Sữa V2,Quán cà phê,0292 6506 777,"Quán Cà Phê - Trà Sữa V2, 144B Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ",9.99265,105.74875,169/1A,Quốc Lộ 1A,Phường Lê Bình,Quận Cái Răng,Cần Thơ,True
692,ChIJUxvV2-OrNTERylUg5YBD_io,Sứ Cà Phê - Quán Sứ,Quán cà phê,,"Sứ Cà Phê - Quán Sứ, 86 P. Quán Sứ, Cửa Nam, Hoàn Kiếm, Hà Nội",10.0243,105.7671,1,Quốc Lộ 1A,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
694,ChIJ092viEeIoDERmVovcQivVcw,Quán Cà Phê Chiếu Phim - Bóng Đá K+ Kim Ngân,Quán cà phê,0292 3508 797,"Quán Cà Phê Chiếu Phim - Bóng Đá K+ Kim Ngân, 91B QL91B, Phường An Khánh, Ninh Kiều, Cần Thơ",10.02208,105.76897,310/43,Đường 30 Tháng 4,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
696,ChIJt31onOWHoDERehWNHHg5pMU,Cheerio Coffee,Quán cà phê,0292 3884 877,"Cheerio Coffee, 300/69 Cách Mạng Tháng Tám, Hẻm 300, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ",10.02274,105.75594,,Đường Nguyễn Hiền,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
697,ChIJT3GvNApjoDERgkYrb1kbKH0,FAIRY GARDEN,Quán cà phê,,"FAIRY GARDEN, 45 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ",10.01267,105.75572,6,Đường 3 Tháng 2,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
698,ChIJp9nUFSKIoDER6F6EsXofdv8,Quán Cà Phê Quang Khánh,Quán cà phê,0292 3508 513,"Quán Cà Phê Quang Khánh, 146 Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ",10.02376,105.77093,60,Khu Dân Cư Số 9,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
701,ChIJY6nIPguJoDERfsP5pADMs1I,Cafe Ngọc Yến 7,Quán cà phê,,"2P9V+V7W Cafe Ngọc Yến 7, An Bình, Ninh Kiều, Cần Thơ",10.01377,105.75821,55,Đường 3 Tháng 2,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
702,ChIJL9pwmZOJoDERgGOrF7jlVJk,Cà phê Nguyệt Quế 3,Quán cà phê,0939 037 039,"Cà phê Nguyệt Quế 3, 236 Đ. Nguyễn Hiền, Hưng Lợi, Ninh Kiều, Cần Thơ",10.02499,105.76303,30/48K,Quốc Lộ 91B,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
703,ChIJN-lhE7eJoDERK2NSAdIn5cg,Tiệm cà phê Leng Keng,Quán cà phê,0939 842 171,"Tiệm cà phê Leng Keng, khu cán bộ giảng viên, đường số 10/Số 1 Đại học, Phường An Khánh, Ninh Kiều, Cần Thơ",10.02632,105.74847,49,Đường Trần Hoàng Na,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
707,ChIJu9kPkaBioDER8ZfQUSIp-mk,CAFE 50,Quán cà phê,0974 133 330,"CAFE 50, 50 Hẻm 1 Đ. Hoàng Văn Thụ, Tân An, Ninh Kiều, Cần Thơ",10.01403,105.76297,151,Đường Trần Hoàng Na,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
708,ChIJB7XkcZmJoDERZDAudTx1G_A,Milano LEO Coffee,Quán cà phê,,"Milano LEO Coffee, 152 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ",10.02254,105.76346,,Hẻm 26 Nguyễn Văn Linh,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
709,ChIJkbMXSYiJoDERCLimjKenzWo,Quán Cà Phê Lụa Coffe,Quán cà phê,,"Quán Cà Phê Lụa Coffe, 118 Đ. Tô Hiến Thành, Phường An Khánh, Ninh Kiều, Cần Thơ",10.01201,105.76431,39B,Đường Trần Hoàng Na,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
712,ChIJzSqqcgaJoDERm20rDcWjPQk,Cafe Nhà Gỗ 91B,Quán cà phê,0914 844 799,"Cafe Nhà Gỗ 91B, 10 Đ. B23, Khu dân cư 91B, Ninh Kiều, Cần Thơ",10.02502,105.76455,1,Khu Vực 3,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
713,ChIJr-gCtjeIoDERpckhIKGZfF8,Cafe Wifi Mái Lá,Quán cà phê,,"2QC6+527 Cafe Wifi Mái Lá, Hưng Lợi, Ninh Kiều, Cần Thơ",10.02615,105.7662,51,Hẻm 51F Đường 3 Tháng 2,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
714,ChIJczbjLDWJoDERXV1Cp6gOQ5A,Cafe Trầm,Quán cà phê,,"Cafe Trầm, A151/39B Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ",10.022,105.7642,24b,Đường Nguyễn Văn Linh,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
715,ChIJT36z-CmJoDERyb4QOP2E6RM,Tự Cà Phê,Quán cà phê,0907 434 597,"Tự Cà Phê, 78 Đ. Cách Mạng Tháng 8, Cái Khế, Ninh Kiều, Cần Thơ",10.0501,105.78701,2,Đường Lê Lợi,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
716,ChIJBZEppjGJoDERSLSCcfhv4DA,Ai Cà Phê,Quán cà phê,,"Ai Cà Phê, 57a Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ",10.03291,105.74934,345,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
731,ChIJ3384GPOJoDER_RYlGasWz-I,Cafe Ý Phát 24h,Quán cà phê,0948 532 876,"Cafe Ý Phát 24h, 475 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ",10.0363,105.78308,46,Đường Trương Định,Phường An Cư,Quận Ninh Kiều,Cần Thơ,True
737,ChIJ2ROLle-JoDERThreM_PgDvM,Tiệm cà phê The The,Quán cà phê,,"Tiệm cà phê The The, 9c Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ",,,,,,,,
738,ChIJnwUczzmIoDERcLdWSqqMOQE,quán cafe,Quán cà phê,0908 458 052,"quán cafe, 29 p tp, Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ",,,,,,,,
754,ChIJN0E_oQKIoDERvqsqkdWgcdw,The Pipe Coffee,Quán cà phê,0911 612 778,"The Pipe Coffee, 10 Trần Quang Khải, An Hội, Ninh Kiều, Cần Thơ",,,,,,,,
762,ChIJ8zGX8DSJoDERgh0Mxmrw_JY,Cà phê Lê Huy,Quán cà phê,,"Cà phê Lê Huy, 13 KDC Thới Nhựt, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
769,ChIJbUbCcQqJoDERYC0VOXwCuCI,Quán Cà Phê Vườn Mận,Quán cà phê,0292 3849 982,"Quán Cà Phê Vườn Mận, 351 Ấp Mỹ Phước, Huyện Phong Điền, An Bình, Ninh Kiều, Cần Thơ",,,,,,,,
775,ChIJ0w7glTSIoDERRcX9KPzSYPo,Cafe Hoàng Hải,Quán cà phê,,"Cafe Hoàng Hải, 151 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ",,,,,,,,
780,ChIJ3QpzTd-JoDER_BKnLf6hl90,Mossy coffee & tea,Quán cà phê,0789 447 488,"Mossy coffee & tea, 178 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ 900000",,,,,,,,
782,ChIJmRQGD1CJoDER3E7J4_XJv2g,GaNi coffee & tea,Quán cà phê,0939 833 179,"GaNi coffee & tea, 3c Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ",,,,,,,,
783,ChIJ7_FGPQeIoDERRcQnV843JV4,Cafe Võng Chiều Vàng,Quán cà phê,0982 177 727,"Cafe Võng Chiều Vàng, 51 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ",,,,,,,,
784,ChIJH86jBOyJoDERsUXAfDnujZ8,Cafe 24h,Quán cà phê,0939 438 439,"2QQ5+CW3 Cafe 24h, Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
785,ChIJ7wZxYT2JoDERt-L17wd1hrw,Tiệm cà phê bèo,Quán cà phê espresso,0907 946 094,"Tiệm cà phê bèo, 27 Đ. Trần Hoàng Na, Phường An Khánh, Ninh Kiều, Cần Thơ 700000",,,,,,,,
786,ChIJJ95tcJWJoDERk-iK0m5gXW0,CÀ PHÊ GREEN PARK,Quán cà phê,0917 432 442,"CÀ PHÊ GREEN PARK, 1 Đường số 6, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
787,ChIJy_r_svarNTERdtsyCvvWnb0,Cafe Phố Cũ,Quán cà phê,0939 389 900,"Cafe Phố Cũ, 39A P. Liên Trì, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,,,,,,,
788,ChIJKc144niJoDERiJJ6ePYdL9k,Cà Phê Mộc,Quán cà phê,0985 126 711,"2QF4+JWM Cà Phê Mộc, Khu dân cư 91B, Ninh Kiều, Cần Thơ 900000",,,,,,,,
789,ChIJ-_SVga6JoDERQkg5F0SSSok,Cafe Emi,Quán cà phê,,"2QPJ+5FC Cafe Emi, Đ. Đề Thám, An Cư, Ninh Kiều, Cần Thơ",,,,,,,,
790,ChIJSQOoM8GJoDERp2bzOAj0524,CÀ PHÊ MILANO - NGUYỄN ĐỆ,Quán cà phê,0919 520 179,"CÀ PHÊ MILANO - NGUYỄN ĐỆ, 13 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ",,,,,,,,
791,ChIJo2-qlGqIoDERDtu1BxMVWJ4,Cà Phê Meo Happy,Quán cà phê,0987 563 969,"Cà Phê Meo Happy, 163c/7 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
792,ChIJx2iMZBGIoDERm-sijgZIjks,Cà Phê Cây Khế,Quán cà phê,0903 368 226,"Cà Phê Cây Khế, 121 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
793,ChIJWb77MEuIoDEROBzJ6IOWOD8,Quán Cà Phê Minh Thư,Quán cà phê,0292 3838 694,"Quán Cà Phê Minh Thư, 10, Đường 3/2, Quận Ninh Kiều, TP Cần Thơ, Hưng Lợi, Ninh Kiều, Cần Thơ",,,,,,,,
794,ChIJ2U1F-LeJoDERqXlE22LvKHQ,Cafe Minh Phúc,Quán cà phê,,"2QC3+V75 Cafe Minh Phúc, Đ. Trần Hoàng Na, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
795,ChIJP2IHp_BjoDERtcXxrfl3XDg,Cà Phê Chất,Quán cà phê,0939 828 929,"Cà Phê Chất, 6B Đ. Ng. Hữu Hạnh, Tân An, Ninh Kiều, Cần Thơ",,,,,,,,
796,ChIJFddpMSCJoDERk-HWNrpaF8k,Cafe Sao Mai,Quán cà phê,0901 012 318,"Cafe Sao Mai, QL91B Đ. Nguyễn Văn Linh, Hưng Lợi, Bình Thủy, Cần Thơ",,,,,,,,
797,ChIJMaNQiDiIoDERAQOglmEsERs,Quán Cà Phê 24h,Quán cà phê,0939 440 487,"2QG5+7RJ Quán Cà Phê 24h, Nguyễn Văn Linh, Phường Hưng Lợi, Quận Ninh Kiều, Hưng Lợi, Ninh Kiều, Cần Thơ",,,,,,,,
798,ChIJJ6gqm0GIoDEReir_-AwXAHg,Cafe Net Hà,Quán cà phê,,"Cafe Net Hà, 10°01'54.5""N 105°45'12.4""E, 373C Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
802,ChIJk1NsXiGIoDERk_pKg5g0sCE,Quán Cà Phê Xin Chào,Quán cà phê,,"Quán Cà Phê Xin Chào, 66 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
804,ChIJ0_XJMPJjoDERAc21mg9LnFw,Cafe 1998,Quán cà phê,0799 636 063,"Cafe 1998, Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ",,,,,,,,
813,ChIJTXcHmiGJoDERR45sgnV9Hl8,TRUNG VY COFFEE - Chuỗi Quán Cung Cấp Cafe Hạt ÁI XUÂN.,Quán cà phê,,"TRUNG VY COFFEE - Chuỗi Quán Cung Cấp Cafe Hạt ÁI XUÂN., 277 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ",,,,,,,,
817,ChIJryGZHj2JoDERhFw-pqePnsw,Coffee Gu 22,Quán cà phê,0905 860 890,"Coffee Gu 22, 298/4 Hẻm 4, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
821,ChIJ0SyE0bCJoDERYShCSQpIY_4,Quán Cà Phê Ven Sông,Quán cà phê,0939 692 944,"Quán Cà Phê Ven Sông, 1A Nguyễn Trãi, Lê Bình, Cái Răng, Cần Thơ",,,,,,,,
825,ChIJpyVzCLOJoDERR5fbAEbSXtA,Cà Phê Diệu Ngân,Quán cà phê,0994 513 979,"2Q52+X67 Cà Phê Diệu Ngân, 98 Đ. 3 Tháng 2, An Bình, Ninh Kiều, Cần Thơ",,,,,,,,
827,ChIJ28Dw1G6JoDER9qOZy9K7tZg,Cà Phê & Bida Duy Khôi,Quán cà phê,0908 723 457,"Cà Phê & Bida Duy Khôi, 30/28 KDC 30, Hưng Lợi, Ninh Kiều, Cần Thơ",,,,,,,,
830,ChIJ2fYYlPZjoDERoeb60ZSRVqc,Đồng Khởi Coffee,Quán cà phê,0939 141 672,"Đồng Khởi Coffee, 23 Đ. Đồng Khởi, Tân An, Ninh Kiều, Cần Thơ",,,,,,,,
832,ChIJbdyBX6BioDERCrynIlcBS5Q,Cà Phê Cà Mau,Quán cà phê,,"Cà Phê Cà Mau, 12 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ",,,,,,,,
833,ChIJbZnWIr9joDERggQNHbP76kI,CÀ PHÊ K30,Quán cà phê,0292 2222 245,"CÀ PHÊ K30, LÔ K30, KHU DÂN CƯ NÔNG THỔ SẢN, Q, P, Cái Răng, Cần Thơ",,,,,,,,
836,ChIJMdHBfqFioDER6inmeF47sSg,Quán Cà Phê Hồng,Quán cà phê,0292 3827 628,"Quán Cà Phê Hồng, 12 Đường Đ. Trần Quốc Toản, Tân An, Ninh Kiều, Cần Thơ",,,,,,,,
842,ChIJtw5C12CJoDERKstElRlcH9M,Phúc Long Coffee & Tea (Vincom Hùng Vương),Phòng trà,,"Phúc Long Coffee & Tea (Vincom Hùng Vương), 2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ",,,,,,,,
843,ChIJOW73WkyJoDERpdJUf0g6_3A,Cookie Coffee,Quán cà phê,0939 818 312,"Cookie Coffee, 37 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ 90000",,,,,,,,
844,ChIJVxokokOJoDERBuzl1X63hkw,Shan Tuyết Tea and Coffee,Quán cà phê,,"Shan Tuyết Tea and Coffee, 138k Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
845,ChIJkUnWnC2IoDERqRrK65LPH3o,Quán Café 262A,Quán cà phê,0292 3840 217,"Quán Café 262A, 262A Tầm Vu, Hưng Lợi, Ninh Kiều, Cần Thơ",,,,,,,,
846,ChIJ7RN9UxOIoDEROwgTI0aLWP0,Cà Phê Căn Tin,Quán cà phê,,"2QR5+28M Cà Phê Căn Tin, Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ",,,,,,,,
