,place_id,name,main_category,phone,address
436,ChIJr0vURCKIoDERu3qIlb7SyOw,Quán Café Thi Thơ,Quán cà phê,0292 3739 869,"Quán Café Thi Thơ, 226, Đường 3/2, Quận Ninh Kiều, Tp Cần Thơ, An Phú, Ninh Kiều, Cần Thơ"
437,ChIJj24YLp6JoDERgGWtK5eMzYk,King Koi Coffee,Quán cà phê,0929 828 384,"King Koi Coffee, 41 Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ"
438,ChIJH1gePhaJoDERxELx-DJEXsI,Cafe 369,Quán cà phê,,"Cafe 369, 152 Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ"
439,ChIJyT7XhqqrNTERbz0ellLo1f4,Hầm Trú Ẩn Cafe,Quán cà phê,0378 802 382,"Hầm Trú Ẩn Cafe, 78 Ng. Trung Tiền, Khâm Thiên, Đống Đa, Hà Nội"
441,ChIJYxLXLc-JoDEREtxz9U9XZ4c,Hoàng Phát Pro 1,Quán cà phê,,"Hoàng Phát Pro 1, 108 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
442,ChIJX5VetDGIoDERCG8HLsda1Xo,Quán Cà Phê Cây Khế,Quán cà phê,0292 3839 336,"2Q99+PFG Quán Cà Phê Cây Khế, Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ"
446,ChIJpWu3KaBioDERhoYKUtijfrE,Time Cafe,Quán cà phê,,"Time Cafe, 89a Võ Văn Tần, Tân An, Ninh Kiều, Cần Thơ"
450,ChIJIzeO0kGIoDERSeaRa2HUWzY,Quán Cafe Sala,Quán cà phê,0292 3789 789,"2QM4+C39 Quán Cafe Sala, Đường Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Quận Ninh Kiều, Phường An Khánh, Ninh Kiều, Cần Thơ"
451,ChIJ4XY5zwmJoDERyJM9q23mhpc,WIMI Specialty Coffee and Tea,Quán cà phê,0865 084 744,"WIMI Specialty Coffee and Tea, 25G Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ"
452,ChIJCSPlLl5joDERaCi3yhpLWG0,Cafe Six Garden,Quán cà phê,,"Cafe Six Garden, 6 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ"
453,ChIJ_wm6t0CHoDERGUYvvZPi-Rc,NAM Coffee,Quán cà phê,,"3Q4G+9WC NAM Coffee, Phạm Công Trứ, Cái Khế, Ninh Kiều, Cần Thơ"
455,ChIJ9bfG6XqJoDERA4zpB_UHJP8,Xóm Cà Phê,Quán cà phê,0292 3818 283,"Xóm Cà Phê, 290 Đường 3-2, An Bình, Ninh Kiều, Cần Thơ"
458,ChIJvTSQdaBioDERxSgHheoEAGU,Cà Phê Cát Tường 1,Quán cà phê,,"Cà Phê Cát Tường 1, 39 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ"
460,ChIJc_aRgw-JoDER_Z_xaAatr4c,Cà phê & Ăn sáng Tiếng Xưa,Quán cà phê,,"Cà phê & Ăn sáng Tiếng Xưa, 68 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ"
461,ChIJ45cM6j6JoDER8QkD9a_4YMM,Thi Thơ - Coffee and Tea,Quán cà phê,0292 3899 988,"Thi Thơ - Coffee and Tea, 77-79 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ"
463,ChIJEYYihxCJoDERzpkGVOVQVpY,MAY COFFEE,Quán cà phê,0292 3939 000,"MAY COFFEE, 03 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
464,ChIJz2vXItaJoDER5qOCI8WD4Ew,4Cs Cafe,Quán cà phê,0292 3868 000,"4Cs Cafe, 80 Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ"
468,ChIJ02nyRZGJoDERH7Zx1_Uqfds,Cafe F,Quán cà phê,0939 347 789,"Cafe F, mới, Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
489,ChIJKXVolsKJoDERNjAlUsgo99A,Bocora Coffee Garden,Quán cà phê,0896 616 268,"Bocora Coffee Garden, Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ"
490,ChIJK-JG490udTERJh71ols4j0Q,Cafe HD MAY 2,Rạp chiếu phim,0906 846 599,"Cafe HD MAY 2, 16 Hẻm 343 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh"
496,ChIJ7bP-JSSIoDERP05Xr_wjdGM,G-Master Boardgames Coffee,Quán cà phê,0829 990 399,"G-Master Boardgames Coffee, 19/27 Đ. Trương Định, Tân An, Ninh Kiều, Cần Thơ"
497,ChIJ2TDLQquJoDERh4-4Wx8Yg3A,The 80’s coffee 24h,Quán cà phê,0369 002 733,"The 80’s coffee 24h, 307H Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ"
498,ChIJZdC56MuJoDERvKcx7T_4suQ,PHÚC COFFEE,Quán cà phê,0947 703 456,"PHÚC COFFEE, 207 Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000"
499,ChIJY7DRVhqIoDER5pFAe4PY9XA,Quán Cà Phê 2.63,Quán cà phê,0292 3768 213,"Quán Cà Phê 2.63, 124 Đ. Lê Anh Xuân, An Nghiệp, Ninh Kiều, Cần Thơ"
514,ChIJRff3EP6HoDERlQfjAd6jT0Q,Cà Phê Vườn Tơ Hồng,Quán cà phê,,"Cà Phê Vườn Tơ Hồng, 8 Nguyễn Văn Cừ nối dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
516,ChIJWRFajTqIoDERaWxGvO5Diyk,Cà Phê Cố Đô,Quán cà phê,0913 312 259,"Cà Phê Cố Đô, 170 Đ. Quản Trọng Hoàng, Xuân Khánh, Ninh Kiều, Cần Thơ"
517,ChIJ920-41yJoDERWXGajR57rl4,LêLa Coffee & Tea,Quán cà phê,0949 756 754,"LêLa Coffee & Tea, 118 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
518,ChIJzaUZo69joDERWa0oeoL7Lgg,Yên Coffee,Quán cà phê,0917 223 305,"Yên Coffee, 12R Hẻm 22 Đ. Mạc Đĩnh Chi, Tân An, Ninh Kiều, Cần Thơ"
519,ChIJ8xhaq8yJoDERXCznfeWGeoA,Cà Phê Nhanh,Quán cà phê,0292 2477 998,"Cà Phê Nhanh, 41 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
520,ChIJy1EwWymHoDERRW2ksUC7hqE,Coffee Trung Đông,Quán cà phê,0292 3832 852,"Coffee Trung Đông, 38 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ"
522,ChIJB0Uhy5iJoDERwZZT6UXWnpc,Cafe Koi- Sanh Lộc,Quán cà phê,0903 363 700,"Cafe Koi- Sanh Lộc, 287 Đường Số 4, An Bình, Ninh Kiều, Cần Thơ"
523,ChIJT-CJ-y-IoDERhwhRaNbXtA0,Kaffeine House,Quán cà phê,,"Kaffeine House, 320 Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ"
545,ChIJP8Wj9nmJoDERfMeoOvSp5W4,Bee Art & Coffee 2,Quán cà phê,0913 303 780,"2QP8+HGM Bee Art & Coffee 2, Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ"
547,ChIJUVYgkPCJoDERsJPk0ubc1KY,VOI Coffee,Quán cà phê,0946 144 244,"VOI Coffee, 250 Đ. Nguyễn Hiền, Hưng Lợi, Ninh Kiều, Cần Thơ 94000"
548,ChIJUZb5WPKJoDERnJdcu0aict4,Coffee 1985,Quán cà phê,0909 286 024,"Coffee 1985, 145 Đ. Nguyễn Hiền, Hưng Lợi, Ninh Kiều, Cần Thơ"
549,ChIJyWUGIV2JoDERdu1pVJHIOgY,REX COFFEE,Quán cà phê,0904 165 165,"REX COFFEE, Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ"
551,ChIJL--wOMSJoDERMkfWTEl7chQ,The Fox Coffee Working Space,Quán cà phê,,"2QR7+C4H The Fox Coffee Working Space, 131 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ"
553,ChIJLYyaS5uJoDERuI8eL7k7d3c,Cà phê Cổ Ngoạn,Quán cà phê,0997 307 979,"Cà phê Cổ Ngoạn, Cà phê Cổ ngoạn, Long Tuyền, Bình Thủy, Cần Thơ"
554,ChIJS3Mn4th9oDERiyWynuWd0UA,Cà phê QUYÊN (Cồn Khương),Quán cà phê,,"3Q6M+HP7 Cà phê QUYÊN (Cồn Khương), Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ"
556,ChIJUzADtwKrNTERswolJ9OLhJ8,Cà phê ven hồ,Quán cà phê,,"2R9V+QRM Cà phê ven hồ, Ngã tư, P. Trần Bình Trọng, P, Hoàn Kiếm, Hà Nội"
558,ChIJtZkzIXiJoDERLYoquJNEcis,Thi Thơ Coffee,Quán cà phê,,"Thi Thơ Coffee, 20 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
559,ChIJe2FMbCeJoDER9Im_s0N76F8,Quán Cà Phê PHÙ SA,Quán cà phê,,"2QC4+V2G Quán Cà Phê PHÙ SA, Khu dân cư 91B, Ninh Kiều, Cần Thơ"
565,ChIJLYNmES-JoDERt1rCQxe_lKY,Cafe 1985,Quán cà phê,0292 3892 626,"Cafe 1985, 138a Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ"
566,ChIJSd-S-KBioDERPUdzD3Lmmlc,Cafe Mai Hoa,Quán cà phê,0908 888 777,"Cafe Mai Hoa, 71 Đ. Ngô Quyền, Tân An, Ninh Kiều, Cần Thơ"
567,ChIJJzCZOzyJoDERy2uFsAGBpJg,Dạ lý,Quán cà phê,,"Dạ lý, 118 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
568,ChIJda_lzTSJoDERwjYvaTxnD30,Là Cafe,Quán cà phê,0977 666 647,"Là Cafe, 122/6 Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ"
569,ChIJHcCdGOqJoDERy7S9HK6sYLM,Tiệm cà phê Ông Quan,Quán cà phê,0937 296 565,"Tiệm cà phê Ông Quan, 78 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ"
571,ChIJwwKJTPyJoDERh1c7eBfQUBM,Sonder Tea & Coffee Nguyễn Văn Cừ,Quán cà phê,0292 3943 259,"Sonder Tea & Coffee Nguyễn Văn Cừ, 877 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
572,ChIJpwaCvhmIoDERdpuy-x0MoGo,Quán Cà Phê Tuyết Trắng,Quán cà phê,0918 885 222,"Quán Cà Phê Tuyết Trắng, 41F Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ"
573,ChIJLzisQP6HoDERrz8qz9OuMyk,Mộc Miên Coffee,Quán cà phê,,"Mộc Miên Coffee, 60 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ"
575,ChIJV9UG12qIoDER1vJSBD8qli0,Quán Cafe 24/7,Quán cà phê,,"2QP5+F5P Quán Cafe 24/7, Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
576,ChIJs0ye6FCIoDERINq9CwbO2E4,Cà Phê Tuyết Nhi,Quán cà phê,,"Cà Phê Tuyết Nhi, 28 Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ"
577,ChIJVQg8-B-IoDERM3BccBPTc6I,Quán Cafe Bích Kiều,Quán cà phê,0292 3813 502,"Quán Cafe Bích Kiều, 87 Hoàng Văn Thụ, An Cư, Ninh Kiều, Cần Thơ"
579,ChIJg6QHPayJoDERq2Y9OxR-pU8,HIGHLANDS COFFEE - VinCom Hùng Vương,Quán cà phê,,"HIGHLANDS COFFEE - VinCom Hùng Vương, 02 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ"
580,ChIJqc_wpDSIoDERmyI3cJeITnQ,Cà Phê Không Gian,Quán cà phê,,"Cà Phê Không Gian, 151 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
594,ChIJt4u4SEKIoDERR6Dehr84E1Q,Quán Cà Phê Hoa Sữa,Quán cà phê,,"Quán Cà Phê Hoa Sữa, 80 KDC Thới Nhựt, Quận Ninh Kiều, Tp Cần Thơ, Phường An Khánh, Ninh Kiều, Cần Thơ"
600,ChIJOyJG10eIoDERdtSeoFmBKYg,Cà Phê Góc Phố,Quán cà phê,0946 401 699,"Cà Phê Góc Phố, 57 Đ. Nguyễn Hiền, Hưng Lợi, Ninh Kiều, Cần Thơ"
601,ChIJQ_TcocmJoDERG52vpAgWhKE,Kho Cafe,Quán cà phê,0854 267 394,"Kho Cafe, 44 Đ. Võ Trường Toản, An Hoà, Ninh Kiều, Cần Thơ"
602,ChIJgR2Cg3OJoDERwswrrVEbo0Q,We Coffee,Quán cà phê,,"2QP8+HGM We Coffee, Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ"
603,ChIJi5tBOQCJoDERMF8iP5eeZXY,Coffee & MILK TEA HOA GIẤY,Quán cà phê,0973 793 335,"Coffee & MILK TEA HOA GIẤY, 151/39C Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
604,ChIJteomA5SJoDERYIt9H0UTkKk,Coffee 389 - Không Gian Làm Việc Lý Tưởng,Quán cà phê,0787 861 622,"2QM7+QW4 Coffee 389 - Không Gian Làm Việc Lý Tưởng, Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ"
606,ChIJefxlRQSJoDERlAw9SAehmm4,Cà phê Lâm,Quán cà phê,0786 848 333,"Cà phê Lâm, 35 Đường Số 4, KDC, Ninh Kiều, Cần Thơ"
607,ChIJ09_7OXSJoDERAQwef0ZTjqI,Cafe điểm tâm sáng 666,Quán cà phê,,"Cafe điểm tâm sáng 666, 172C Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ"
608,ChIJieMOU5iJoDER96C6wTiJD2k,Cà phê YUME,Quán cà phê,0919 189 169,"2QH6+GHG Cà phê YUME, Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ"
609,ChIJ9zpP7K2JoDERHNZ7OsSN1mk,Cà phê Quỳnh Anh,Quán cà phê,0934 125 124,"Cà phê Quỳnh Anh, 57 Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ"
610,ChIJq0TAtIOJoDER40nrRHE8yfg,Đắng 2 Coffee,Quán cà phê,0376 167 391,"Đắng 2 Coffee, 59/3 đường Bờ Hồ Bún Xáng, Hẻm 51 Đường 3/2, Phường An Khánh, Ninh Kiều, Cần Thơ"
611,ChIJnWw1DT-JoDERJgj0SZR5HKk,Cà Phê Tia Chớp,Quán cà phê,0939 555 836,"Cà Phê Tia Chớp, 91 Đ. B19, Khu dân cư 91B, Ninh Kiều, Cần Thơ"
613,ChIJl1gqOCJjoDERgGWVbuTxOKE,Beeart & coffee,Quán cà phê,0913 303 780,"Beeart & coffee, 07 Hoàng Văn Thụ, An Hội, Ninh Kiều, Cần Thơ"
614,ChIJt9zbOR2JoDERPS451j_NAGE,Doctor Coffee,Quán cà phê,,"Doctor Coffee, Ngã ba Đường Trần Minh Sơn và Đường Số 11, Phường An Khánh, Ninh Kiều, Cần Thơ"
625,ChIJGQ9I6GqIoDERFVoEvlpRTQU,Quán Cà Phê Nhịp Sống Mới,Quán cà phê,0292 3890 195,"Quán Cà Phê Nhịp Sống Mới, 161 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
638,ChIJeZQlLE2JoDERZpCpwf6Cl4Q,Quán Cà Phê TD Coffee,Quán cà phê,,"Quán Cà Phê TD Coffee, 4 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ"
640,ChIJm-DG0NGJoDERKuJWxIKrOug,Cafe Phong Lan,Quán cà phê,0944 353 469,"Cafe Phong Lan, 335 Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ"
641,ChIJG9MX6LWJoDER-4gsHRwBaYs,cafe YÊN BÌNH,Quán cà phê,,"2Q94+RC3 cafe YÊN BÌNH, Đ. Trần Hoàng Na, Khu dân cư 91B, Ninh Kiều, Cần Thơ"
642,ChIJaT9rxJSJoDERo7QTAZneZX8,Cà Phê Nhà Tôi,Quán cà phê,0779 633 247,"Cà Phê Nhà Tôi, 3A dãy B, 17 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
643,ChIJLy5PM2aIoDERX11AUnXgQHc,Cà phê Làng Hoa,Quán cà phê,,"2PPW+R9J Cà phê Làng Hoa, Unnamed Road, Bình Thủy, Cần Thơ"
644,ChIJdVhtV0yIoDERk21VSO1aXKo,Cà Phê Bida Ngọc Loan,Quán cà phê,,"Cà Phê Bida Ngọc Loan, 66 Đ. Trần Vĩnh Kiết, An Bình, Ninh Kiều, Cần Thơ"
645,ChIJURDz4SGIoDERAdb_YmNxwpI,Cà phê Mười Hai Giờ,Quán cà phê,0916 802 875,"Cà phê Mười Hai Giờ, 158/72, Hẻm 2, Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ"
646,ChIJbxgL_FOHoDER9Cyrk8AWrnk,Coffee Thềm Xưa 2,Quán cà phê,,"Coffee Thềm Xưa 2, 60 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ"
648,ChIJiUyU2TmIoDERsD78HZ6XLX8,Quán Cà Phê Ngọc,Quán cà phê,0939 329 817,"Quán Cà Phê Ngọc, 15 QL91B, Hưng Lợi, Ninh Kiều, Cần Thơ"
651,ChIJx0Xl1cWJoDERrR71rAKAgjA,Forest Coffee,Quán cà phê,,"Forest Coffee, 133 Nguyễn Ngọc Trai, Xuân Khánh, Ninh Kiều, Cần Thơ"
652,ChIJTa3dHqJioDERjJ-mp2k3sKg,Chè - cà phê - kem - sinh tố Mỹ Hoá,Quán cà phê,0292 3820 841,"Chè - cà phê - kem - sinh tố Mỹ Hoá, 62 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ"
653,ChIJqwp-LjFjoDERz6vJzB_tuH0,Phúc Long coffee & tea,Quán cà phê,,"Phúc Long coffee & tea, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ"
654,ChIJAf_mNKBioDERt2_3RBXipko,F25 Cafe,Quán cà phê,,"F25 Cafe, 59 Đ. Ngô Văn Sở, Tân An, Ninh Kiều, Cần Thơ"
660,ChIJu57TJTdjoDERzpzxBtV3bOE,CHẠM CREAM COFFEE,Quán cà phê,0939 373 835,"CHẠM CREAM COFFEE, 134 Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ"
661,ChIJ5b973TWJoDERUduiwmxq2w4,Quán cà phê võng cánh buồm,Quán cà phê,0777 892 606,"2QRC+4Q5 Quán cà phê võng cánh buồm, Đ. Lê Anh Xuân, An Nghiệp, Ninh Kiều, Cần Thơ"
669,ChIJeeWPyKiJoDER2QXdRA0PkPA,Hứng Coffee,Quán cà phê,0339 343 392,"Hứng Coffee, Đại Ngân, Đường số 3, Khu dân cư, Ninh Kiều, Cần Thơ 900000"
684,ChIJFzCvKFGIoDERsh6yYPu9NrY,Cafe Kiều My 2,Quán cà phê,,"2PCR+8M4 Cafe Kiều My 2, Đ. Hoàng Quốc Việt, An Bình, Ninh Kiều, Cần Thơ"
685,ChIJT_16E9SJoDERxhnBK2RudKA,Cafe - Bida - Game Hoàng tử,Quán cà phê,0913 979 899,"Cafe - Bida - Game Hoàng tử, 602 Hẻm 553, Hưng Lợi, Ninh Kiều, Cần Thơ 900000"
686,ChIJhTcThyGIoDERkYWn9B4PTn4,Quán Cafe Toàn,Quán cà phê,0977 068 071,"Quán Cafe Toàn, 176 Đ. Nguyễn Việt Hồng, Xuân Khánh, Ninh Kiều, Cần Thơ"
687,ChIJbav2XKGJoDERbsVvjMxO94o,Coffee Võng Tài Lộc,Quán cà phê,,"2QH2+XQX Coffee Võng Tài Lộc, Phường An Khánh, Ninh Kiều, Cần Thơ"
688,ChIJ0TvH4TSIoDER-cPFoBAPZgQ,Cà Phê Doggie,Quán cà phê,,"Cà Phê Doggie, 92 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ"
689,ChIJO3iMv_eJoDERQkBs2bkfC_4,BIG BEN Coffee & Beer - Chill Out,Quán cà phê,0974 023 890,"BIG BEN Coffee & Beer - Chill Out, Hẻm 51, Hưng Lợi, Ninh Kiều, Cần Thơ"
690,ChIJy9ikVDuIoDERHYLRHBXRWfE,Quán Cà Phê - Trà Sữa V2,Quán cà phê,0292 6506 777,"Quán Cà Phê - Trà Sữa V2, 144B Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ"
692,ChIJUxvV2-OrNTERylUg5YBD_io,Sứ Cà Phê - Quán Sứ,Quán cà phê,,"Sứ Cà Phê - Quán Sứ, 86 P. Quán Sứ, Cửa Nam, Hoàn Kiếm, Hà Nội"
694,ChIJ092viEeIoDERmVovcQivVcw,Quán Cà Phê Chiếu Phim - Bóng Đá K+ Kim Ngân,Quán cà phê,0292 3508 797,"Quán Cà Phê Chiếu Phim - Bóng Đá K+ Kim Ngân, 91B QL91B, Phường An Khánh, Ninh Kiều, Cần Thơ"
696,ChIJt31onOWHoDERehWNHHg5pMU,Cheerio Coffee,Quán cà phê,0292 3884 877,"Cheerio Coffee, 300/69 Cách Mạng Tháng Tám, Hẻm 300, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ"
697,ChIJT3GvNApjoDERgkYrb1kbKH0,FAIRY GARDEN,Quán cà phê,,"FAIRY GARDEN, 45 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ"
698,ChIJp9nUFSKIoDER6F6EsXofdv8,Quán Cà Phê Quang Khánh,Quán cà phê,0292 3508 513,"Quán Cà Phê Quang Khánh, 146 Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ"
701,ChIJY6nIPguJoDERfsP5pADMs1I,Cafe Ngọc Yến 7,Quán cà phê,,"2P9V+V7W Cafe Ngọc Yến 7, An Bình, Ninh Kiều, Cần Thơ"
702,ChIJL9pwmZOJoDERgGOrF7jlVJk,Cà phê Nguyệt Quế 3,Quán cà phê,0939 037 039,"Cà phê Nguyệt Quế 3, 236 Đ. Nguyễn Hiền, Hưng Lợi, Ninh Kiều, Cần Thơ"
703,ChIJN-lhE7eJoDERK2NSAdIn5cg,Tiệm cà phê Leng Keng,Quán cà phê,0939 842 171,"Tiệm cà phê Leng Keng, khu cán bộ giảng viên, đường số 10/Số 1 Đại học, Phường An Khánh, Ninh Kiều, Cần Thơ"
707,ChIJu9kPkaBioDER8ZfQUSIp-mk,CAFE 50,Quán cà phê,0974 133 330,"CAFE 50, 50 Hẻm 1 Đ. Hoàng Văn Thụ, Tân An, Ninh Kiều, Cần Thơ"
708,ChIJB7XkcZmJoDERZDAudTx1G_A,Milano LEO Coffee,Quán cà phê,,"Milano LEO Coffee, 152 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ"
709,ChIJkbMXSYiJoDERCLimjKenzWo,Quán Cà Phê Lụa Coffe,Quán cà phê,,"Quán Cà Phê Lụa Coffe, 118 Đ. Tô Hiến Thành, Phường An Khánh, Ninh Kiều, Cần Thơ"
712,ChIJzSqqcgaJoDERm20rDcWjPQk,Cafe Nhà Gỗ 91B,Quán cà phê,0914 844 799,"Cafe Nhà Gỗ 91B, 10 Đ. B23, Khu dân cư 91B, Ninh Kiều, Cần Thơ"
713,ChIJr-gCtjeIoDERpckhIKGZfF8,Cafe Wifi Mái Lá,Quán cà phê,,"2QC6+527 Cafe Wifi Mái Lá, Hưng Lợi, Ninh Kiều, Cần Thơ"
714,ChIJczbjLDWJoDERXV1Cp6gOQ5A,Cafe Trầm,Quán cà phê,,"Cafe Trầm, A151/39B Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
715,ChIJT36z-CmJoDERyb4QOP2E6RM,Tự Cà Phê,Quán cà phê,0907 434 597,"Tự Cà Phê, 78 Đ. Cách Mạng Tháng 8, Cái Khế, Ninh Kiều, Cần Thơ"
716,ChIJBZEppjGJoDERSLSCcfhv4DA,Ai Cà Phê,Quán cà phê,,"Ai Cà Phê, 57a Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ"
731,ChIJ3384GPOJoDER_RYlGasWz-I,Cafe Ý Phát 24h,Quán cà phê,0948 532 876,"Cafe Ý Phát 24h, 475 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ"
737,ChIJ2ROLle-JoDERThreM_PgDvM,Tiệm cà phê The The,Quán cà phê,,"Tiệm cà phê The The, 9c Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ"
738,ChIJnwUczzmIoDERcLdWSqqMOQE,quán cafe,Quán cà phê,0908 458 052,"quán cafe, 29 p tp, Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ"
754,ChIJN0E_oQKIoDERvqsqkdWgcdw,The Pipe Coffee,Quán cà phê,0911 612 778,"The Pipe Coffee, 10 Trần Quang Khải, An Hội, Ninh Kiều, Cần Thơ"
762,ChIJ8zGX8DSJoDERgh0Mxmrw_JY,Cà phê Lê Huy,Quán cà phê,,"Cà phê Lê Huy, 13 KDC Thới Nhựt, Phường An Khánh, Ninh Kiều, Cần Thơ"
769,ChIJbUbCcQqJoDERYC0VOXwCuCI,Quán Cà Phê Vườn Mận,Quán cà phê,0292 3849 982,"Quán Cà Phê Vườn Mận, 351 Ấp Mỹ Phước, Huyện Phong Điền, An Bình, Ninh Kiều, Cần Thơ"
775,ChIJ0w7glTSIoDERRcX9KPzSYPo,Cafe Hoàng Hải,Quán cà phê,,"Cafe Hoàng Hải, 151 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ"
780,ChIJ3QpzTd-JoDER_BKnLf6hl90,Mossy coffee & tea,Quán cà phê,0789 447 488,"Mossy coffee & tea, 178 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ 900000"
782,ChIJmRQGD1CJoDER3E7J4_XJv2g,GaNi coffee & tea,Quán cà phê,0939 833 179,"GaNi coffee & tea, 3c Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ"
783,ChIJ7_FGPQeIoDERRcQnV843JV4,Cafe Võng Chiều Vàng,Quán cà phê,0982 177 727,"Cafe Võng Chiều Vàng, 51 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ"
784,ChIJH86jBOyJoDERsUXAfDnujZ8,Cafe 24h,Quán cà phê,0939 438 439,"2QQ5+CW3 Cafe 24h, Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
785,ChIJ7wZxYT2JoDERt-L17wd1hrw,Tiệm cà phê bèo,Quán cà phê espresso,0907 946 094,"Tiệm cà phê bèo, 27 Đ. Trần Hoàng Na, Phường An Khánh, Ninh Kiều, Cần Thơ 700000"
786,ChIJJ95tcJWJoDERk-iK0m5gXW0,CÀ PHÊ GREEN PARK,Quán cà phê,0917 432 442,"CÀ PHÊ GREEN PARK, 1 Đường số 6, Phường An Khánh, Ninh Kiều, Cần Thơ"
